date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:35	2385/2385	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Jun%202018%2018:05:13%20GMT	https://ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	C:/Users/Sultan/Desktop/Blockchain/ethereum-magicians.org/uploads/default/original/1X/e726391f66eb7da7a0ed7d780b4df5e8e2416a17.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:38	6972/6972	---MCZ	200	added ('OK')	text/html	etag:%22827a3991e14915b26cf34d9ec8d80e3f-ssl-df%22	https://mintconnectw.netlify.app/formpage.html	C:/Users/Sultan/Desktop/Blockchain/mintconnectw.netlify.app/formpage.html	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:40	69063/69063	---MCZ	200	added ('OK')	image/png	etag:W/%22623fd897-10dc7%22	https://image.pngaaa.com/356/6547356-middle.png	C:/Users/Sultan/Desktop/Blockchain/image.pngaaa.com/356/6547356-middle.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:42	6183/6183	---M--	200	added ('OK')	image/jpeg	etag:%22cf8SdjkiXaj9vQ8jVL_5LaHA%22	https://registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/4622a2b2d6af1c9844944291e5e7351a6aa24cd7b23099efac1b2fd875da31a0.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:42	4404/4404	---M--	200	added ('OK')	image/jpeg	etag:%22cfvK4nygasJ2dHoJmPt8RsWg%22	https://registry.walletconnect.org/logo/lg/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/cf21952a9bc8108bf13b12c92443751e2cc388d27008be4201b92bbc6d83dd46.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:43	74609/74609	---M--	200	added ('OK')	image/png	etag:%22cfd2AvfQzxHzsNL1mSTj2C4Q%22	https://registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/c57ca95b47569778a828d19178114f4db188b89b763c899ba0be274e97267d96.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:47	59758/59758	---M--	200	added ('OK')	image/png	etag:%2239a2af266cb6e3c87524741a2d67e4fd%22	https://user-images.githubusercontent.com/12424618/54043975-b6cdb800-4182-11e9-83bd-0cd2eb757c6e.png	C:/Users/Sultan/Desktop/Blockchain/user-images.githubusercontent.com/12424618/54043975-b6cdb800-4182-11e9-83bd-0cd2eb757c6e.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:47	2979/2979	---M--	200	added ('OK')	image/png	etag:%227bad366d13501fd4598b08c11a0660f5%22	https://s2.coinmarketcap.com/static/img/coins/64x64/8757.png	C:/Users/Sultan/Desktop/Blockchain/s2.coinmarketcap.com/static/img/coins/64x64/8757.png	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:48	9947/9947	---M--	200	added ('OK')	image/jpeg	etag:%22cfA513vTOZdpt0R5Jbl4H-ig%22	https://registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/f2436c67184f158d1beda5df53298ee84abfc367581e4505134b5bcf5f46697d.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
14:00:48	3844/3844	---M--	200	added ('OK')	image/jpeg	etag:%22cfpJUnjRU5-MVDBmtKdrTIOA%22	https://registry.walletconnect.org/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpeg	C:/Users/Sultan/Desktop/Blockchain/registry.walletconnect.org/logo/lg/0b58bf037bf943e934706796fb017d59eace1dadcbc1d9fe24d9b46629e5985c.jpg	(from https://mintconnectw.netlify.app/walletpage.html)
